name,equipment_cat,body_part,difficulty,gif_url
Jog,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1/male/l/1_1.jpg
Single Arm Press - Iso Arms,basic,general,intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/male/l/6_1.jpg
Cannonball Crunch,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/9/male/l/9_1.jpg
Hip Thrust DB,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/231/male/l/231_1.jpg
Wide Grip Incline Benchpress,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/47/male/l/47_1.jpg
Close Grip Pull Up,basic,general,intermediate,
Ring Rear Delt Flies,basic,general,beginner,
Glute Bridge (Machine),basic,general,beginner,
Massive Curls,basic,general,intermediate,
Triceps Push-Up,basic,general,intermediate,
Lateral Leg Raises,basic,general,beginner,
Short-Lever Copenhagen,basic,general,beginner,
Weighted Hanging Oblique Knee Raise,basic,general,intermediate,
Reverse Lunge (Barbell),basic,general,beginner,
Rope Hammer Curl,basic,general,beginner,
Calf Raise Smith Machine,basic,general,intermediate,
(BACK) Landmine T Bar Row,basic,general,intermediate,
Plate Pinch,basic,general,beginner,
(CHEST) Flat Dumbbell Bench Press,basic,general,intermediate,
Banded External Rotation,basic,general,beginner,
Sternum Row,basic,general,intermediate,
Hammer Curl (TRX),basic,general,beginner,
Seated Dumbbell Curl,basic,general,beginner,
Inverse DB Zottman Curl,basic,general,beginner,
Hands on Hips Countermovement Jump,basic,general,beginner,
Line Hops,basic,general,intermediate,
Goblet Squats (Cable),basic,general,intermediate,
Wrist Figure 8s w/ Light Plate,basic,general,beginner,
Superman Alternating Sides,basic,general,beginner,
Side-Lying Clamshells,basic,general,beginner,
Cable Wrist Curls (12-15),basic,general,beginner,
Reverse Curl Cable,basic,general,beginner,
Dynamic Med Ball Soccer Toss,basic,general,intermediate,
Tibialis Raises,basic,general,beginner,
Lateral Raise (Dumbbell),basic,general,beginner,
Sissy Squat,basic,general,intermediate,
Drag Curl,basic,general,beginner,
One Arm Overhead Carry with March,basic,general,beginner,
Elevated Bulgarian Split Squat,basic,general,advanced,
Kettlebell Swings,basic,general,intermediate,
Farmer's Walk (Weighted),basic,general,beginner,
Banded Overhead Squat,basic,general,beginner,
Shrug (Cable),basic,general,beginner,
Power Skips 20yds,basic,general,intermediate,
Preacher Crunch,basic,general,intermediate,
Zottman Curls,basic,general,beginner,
Pallof Press Holds,basic,general,beginner,
Tire Flip,basic,general,intermediate,
Upper Push Accessory 2,basic,general,intermediate,
Resistance Band Chest Fly,basic,general,intermediate,
Dip (Bodyweight),basic,general,intermediate,
Low To High Cable Fly,basic,general,intermediate,
Split Squat,basic,general,beginner,
Etupunnerrus,basic,general,beginner,
Curl Up (McGill),basic,general,intermediate,
Wide Grip Chest Supported Row,basic,general,beginner,
Bench(BB),basic,general,intermediate,
Upright Row (Barbell),basic,general,intermediate,
Machine Crunch,basic,general,beginner,
Sprint 4 Min Recover 4 Min 4 Time,basic,general,beginner,
Hip Thrust (Dumbbell),basic,general,beginner,
Neutral Grip Bench,basic,general,intermediate,
Butterfly DB,basic,general,beginner,
Step-Up (Weighted),basic,general,beginner,
Fly Press (Dumbbell),basic,general,intermediate,
(LEGS) 45 Degree Leg Press,basic,general,intermediate,
Arm Hauler,basic,general,intermediate,
Freemotion Cable Curl,basic,general,intermediate,
Dump The Buckets,basic,general,intermediate,
Dumbbell Row,basic,general,beginner,
MAG Narrow Supine Cable Row,basic,general,beginner,
Concentration Curl,basic,general,intermediate,
Smith Hack Squat,basic,general,beginner,
Single Arm Kettlebell Swing,basic,general,beginner,
Kneeling Behind Head Cable Curl,basic,general,beginner,
Dumbbell Hammer And Standard Curl,basic,general,intermediate,
Band Tricep Pushdown,basic,general,beginner,
Single Arm Cable Row,basic,general,intermediate,
RDL (Smith Machine),basic,general,beginner,
Seated Tricep Press (Dumbbell),basic,general,intermediate,
Cable Tricep Push Away,basic,general,beginner,
Break Day,basic,general,beginner,
Side Crunch (Cable),basic,general,beginner,
Hack Squat,basic,general,intermediate,
Tibialis,basic,general,beginner,
Abs,basic,general,intermediate,
Half Kneeling Arnold Press (Dumbbell),basic,general,beginner,
M Drill,basic,general,intermediate,
Squat Pin Presses,basic,general,beginner,
AD Press,basic,general,advanced,
Triceps press,basic,general,advanced,
Kettlebell Sumo High Pull,basic,general,beginner,
Reverse Forearm Curls,basic,general,intermediate,
Plate pinch,basic,general,beginner,
Seated Triceps Push Down,basic,general,beginner,
High To Low Cable Flyes,basic,general,intermediate,
Air Cycling,basic,general,intermediate,
Tricep Pressdown 2 (Cable),basic,general,beginner,
Rock Bar Overhead Swings,basic,general,intermediate,
10km Row,basic,general,beginner,
Reverse Fly (Machine),basic,general,beginner,
Preacher Curl - Hammer Strength,basic,general,intermediate,
Smith Machine Upright Rows,basic,general,intermediate,
Lat Pulldown (Close Grip),basic,general,beginner,
Elliptical Machine,basic,general,beginner,
Band Wrist Flexion,basic,general,intermediate,
Body Weight Row On Barbell,basic,general,intermediate,
Pike Pushup (Feet Elevated),basic,general,intermediate,
(BACK) Iso Row (Upper Back Focused),basic,general,intermediate,
Fly Into Press,basic,general,beginner,
Isometric Row Hold (Dumbbell),basic,general,beginner,
Unilateral Hip Adductor,basic,general,beginner,
Isolation Work (Optional),basic,general,beginner,
Step downs,basic,general,beginner,
Tempo Seated Leg Curl 3 IN 2 HOLD 3 OUT,basic,general,beginner,
Pike Pushup,basic,general,intermediate,
Cross Body SA Pulldown,basic,general,beginner,
Dumbbell Hamstring Curl,basic,general,beginner,
Short Foot Exercise,basic,general,intermediate,
Low Row,basic,general,intermediate,
Ring Curl,basic,general,intermediate,
Kneeling Single-Arm Diagonal Pulldown,basic,general,intermediate,
Overhead Carry,basic,general,intermediate,
Assault Bike,basic,general,beginner,
L-Sit,basic,general,intermediate,
Glute-Ham Raise,basic,general,intermediate,
Push-Up Variations (Incline Or Weighted),basic,general,beginner,
Skier Rows,basic,general,beginner,
Rolling Plank,basic,general,beginner,
V-Bar Lat Pulldown,basic,general,intermediate,
Open The Book,basic,general,beginner,
Machine Flat Press,basic,general,beginner,
Behind The Neck Pullups,basic,general,beginner,
Wide Grip Chest Press,basic,general,beginner,
DB Lateral Raise,basic,general,intermediate,
Kneeling Med Ball Front Toss,basic,general,intermediate,
Diagonal Supinated Lat Pulldown,basic,general,intermediate,
Hand Stand,basic,general,intermediate,
Alternate Bounds,basic,general,beginner,
Ring Row (Weighted),basic,general,intermediate,
Kelso Shrug/Incline Row,basic,general,advanced,
Pull-Up (Weighted),basic,general,intermediate,
Dead Bug,basic,general,beginner,
Cross-Body Lat Pull-Around,basic,general,beginner,
World's Greatest Stretch,basic,general,beginner,
Cable Rear Delt Flys (POSTERIOR DELT; Mid/Lengthened Position),basic,general,beginner,
Pistol Squat To Box,basic,general,beginner,
Hanging Knee Raises,basic,general,beginner,
Stair Stepper,basic,general,beginner,
Lateral Pogo Jumps 10 Yards,basic,general,intermediate,
Low To High Fly,basic,general,beginner,
Underhand Pull-down biceps,basic,general,intermediate,
Concentration Cable Curl,basic,general,beginner,
Lying Tricep Extension (Barbell),basic,general,beginner,
Cable Crossover,basic,general,intermediate,
tire with hammer,basic,general,beginner,
Hill Sprint / Stairs Sprint,basic,general,intermediate,
Scapular Pull-Up,basic,general,intermediate,
Kettlebell Clean and Press,basic,general,intermediate,
Floating Deadlift,basic,general,advanced,
RP Hammer Strength Lateral Raise - Single Arm,basic,general,intermediate,
Loading,basic,general,beginner,
Split Squat (Smith Machine),basic,general,intermediate,
Abrazo Del Oso,basic,general,intermediate,
OHP Pin Press,basic,general,intermediate,
Press Around,basic,general,beginner,
Seated Military Press (Barbell),basic,general,beginner,
Active Plank,basic,general,beginner,
Reactive Box Jump,basic,general,intermediate,
Pendulum Squat,basic,general,beginner,
Single-Leg Leg Extension,basic,general,beginner,
Romanian Deadlift (Bottom Pause),basic,general,beginner,
Standing Behind Neck Shoulder Press (Barbell),basic,general,beginner,
Dynamic Warm-up,basic,general,beginner,
Shoulder Press,basic,general,beginner,
Incline Treadmill,basic,general,beginner,
Half Kneeling Landmine Press,basic,general,intermediate,
Seated Shoulder Press,basic,general,intermediate,
Lateral Raise (Machine),basic,general,beginner,
Overhead Dumbbell Carries,basic,general,beginner,
Landmine Oblique Twist,basic,general,beginner,
Tricep Extension (Resistance Band),basic,general,beginner,
Wall Angels,basic,general,beginner,
Cable Skull Crusher,basic,general,beginner,
Smith Machine Reverse Lunges,basic,general,beginner,
Overhead Squat w/ Snatch Grip Press at Bottom,basic,general,beginner,
Cable Pushdown,basic,general,beginner,
Lu Lateral Raise,basic,general,beginner,
Unilateral Leg Extension,basic,general,beginner,
Jefferson curl,basic,general,intermediate,
Lean-Back Lat Pulldown,basic,general,beginner,
Titan's Telegraph,basic,general,intermediate,
Curtsy Lounge,basic,general,beginner,
Seal Row,basic,general,intermediate,
Single Arm Overhead Tricep Extension,basic,general,intermediate,
Skull Crusher (Barbell),basic,general,intermediate,
Grip Hold,basic,general,beginner,
Bulgarian Split Squat (Dumbbell),basic,general,intermediate,
Glute Drive (Machine),basic,general,beginner,
Incline Tricep Power Bomb,basic,general,beginner,
Banded Chest Dumbbell Fly,basic,general,intermediate,
Decline Sit Up (Weighted),basic,general,advanced,
Lat Pulldown,basic,general,beginner,
Super ROM overhand Cable Row,basic,general,beginner,
Flat Bench Curls,basic,general,intermediate,
Reverse Hack Squats,basic,general,beginner,
(CHEST) Decline Barbell Bench Press,basic,general,intermediate,
Ez Bar Skull Crusher,basic,general,intermediate,
Guillotine Bench Press,basic,general,advanced,
Face Pull (Rotator Cuff),basic,general,intermediate,
Decline Deficit Pike Push-Ups,basic,general,beginner,
Straight Arm Pull Down,basic,general,beginner,
Z-Press,basic,general,beginner,
Abs Crunch (Bodyweight),basic,general,intermediate,
Split Squat (Bodyweight),basic,general,beginner,
Forearm Raise,basic,general,beginner,
Bent Over Row (Kettlebell),basic,general,beginner,
Kettlebell Carry,basic,general,beginner,
1/2 Kneeling Adductor Rock Back,basic,general,beginner,
Hip Thrust (Machine),basic,general,beginner,
Light Cardio,basic,general,beginner,
Overhead Extension (EZ Bar),basic,general,beginner,
Seated Triceps Press,basic,general,intermediate,
REST,basic,general,intermediate,
Zercher Lunges,basic,general,intermediate,
Cossack Squat (Bodyweight),basic,general,beginner,
Pigeon Stretch Altered,basic,general,intermediate,
Smith Machine Calf Raise,basic,general,beginner,
Incline dumbell row,basic,general,intermediate,
Piriformis Stretch,basic,general,intermediate,
Seated Cable Row,basic,general,intermediate,
Seated Hip Abduction,basic,general,beginner,
Prowler Push,basic,general,intermediate,
Unilateral Cable Rear Delt Fly,basic,general,beginner,
Pronation,basic,general,intermediate,
Bodyweight Side Lying Clamshell,basic,general,intermediate,
Lying Hamstring Curl,basic,general,beginner,
Overhead Press (Machine),basic,general,beginner,
Seated Overhead Pin Press (Barbell),basic,general,intermediate,
Side Plank With Reach Under,basic,general,beginner,
Dual Rope Extension,basic,general,advanced,
Clean and Press,basic,general,intermediate,
Smith Machine Reverse Lunge,basic,general,beginner,
Leg Curl,basic,general,beginner,
Prayer Bench Press,basic,general,intermediate,
Speed Bench Press,basic,general,beginner,
"I, Y, T (IYT) Raise",basic,general,intermediate,
Shrug (Dumbbell),basic,general,intermediate,
V-Up,basic,general,beginner,
"Incline Treadmill Walk (5–10 Incline, 3.0 Speed)",basic,general,beginner,
Roll Up,basic,general,beginner,
Wrist Curls (Dumbbell),basic,general,beginner,
Bird Dog Isometric Hold,basic,general,beginner,
Leg Extension (One Leg),basic,general,beginner,
Band Static Trunk Circuit,basic,general,intermediate,
Neck Tilts,basic,general,beginner,
Lying DB Bicep Curl,basic,general,advanced,
Stability Ball Crunch,basic,general,beginner,
Bench Press (Harambe System Or Barbell),basic,general,intermediate,
Rear Delt Skier,basic,general,beginner,
Triangle Pose,basic,general,beginner,
RP Nautilus Chain Fed Decline Press,basic,general,intermediate,
Neck Harness,basic,general,intermediate,
(SHOULDERS) Seated Smith Machine Shoulder Press,basic,general,intermediate,
Jump Rope,basic,general,intermediate,
Knee-to-wall ankle dorsiflexion test,basic,general,beginner,
Kettlebell Clean,basic,general,intermediate,
EZ Bar Skullcrushers,basic,general,beginner,
Adductor Dynamic Plank,basic,general,beginner,
Sled Push,basic,general,intermediate,
(HAMSTRINGS) Seated Hamstring Curl,basic,general,intermediate,
Upright Row (Cable),basic,general,beginner,
Tibialis Raise,basic,general,beginner,
Cable external rotation - elbow low,basic,general,beginner,
One Arm Bent Over Row,basic,general,beginner,
Suitcase Carry,basic,general,intermediate,
Kelso Shrugs,basic,general,intermediate,
Weighted Roman Chair Setup,basic,general,beginner,
High Incline DB Bench,basic,general,intermediate,
Chin-Up (Bodyweight),basic,general,intermediate,
Lift From The Lap To Chest Height (Vertical Method 1),basic,general,beginner,
Guillotine Press,basic,general,intermediate,
Seated Anterior Delt Press (AD),basic,general,advanced,
Way Bent Over Row,basic,general,intermediate,
Weighted Ankle Stretch (Goblet Hold),basic,general,beginner,
Planche Push Up,basic,general,beginner,
Tricep Pressdown (Cable),basic,general,beginner,
Kennan Flap,basic,general,beginner,
Barbell Row (smith Machine),basic,general,beginner,
Kipping,basic,general,beginner,
Pull-Up,basic,general,intermediate,
Wide Neutral Pulldown,basic,general,beginner,
Kneeling Overhead Press,basic,general,intermediate,
Seated Lateral Raise,basic,general,beginner,
Wide Row,basic,general,beginner,
Yates Row,basic,general,intermediate,
Alternating Lunge Jumps,basic,general,intermediate,
Single Leg Stair Jumps,basic,general,beginner,
"Pull-Up (Neutral Grip, Bodyweight)",basic,general,beginner,
circus press,basic,general,beginner,
